id;name;author;publisher;publish_verion;price;isbn;remark
1;Table Fish;Dynamic programming;forecast;Agent;69561;radical Configuration Director;Center
2;Fish Wyoming;connect Kansas ADP;auxiliary Pula Representative;Optimization calculating Delaware;55808;Games;FTP payment
3;Generic override;programming cross-platform Consultant;blockchains orchestrate;Port payment Shoes;83632;Club architectures;generate Ports syndicate
4;Soft;Escudo;Account;Sweden Personal programming;59751;Industrial;Concrete compressing Table
5;Dominica;input;payment salmon;interface;67602;Dynamic Clothing;Alaska Oklahoma
6;Health Paradigm;payment secondary quantify;Andorra blue SMS;Carolina Jan Arkansas;66138;Consultant fresh-thinking;Intelligent Surinam
7;bus Assistant;withdrawal engineer;Consultant Checking Pound;Metal;76177;Plastic District Djibouti;parse Producer Technician
8;maroon channels composite;target override;fuchsia;Bahamian Avon withdrawal;39628;Liaison;SQL
9;orchestrate;invoice;Berkshire Account Ergonomic;Group;20260;Licensed;Berkshire quantify olive
10;distributed mint reboot;TCP United;Bhutanese;Savings;24966;Fresh virtual;Baby transmitting
